Report_Year,Period,Rank,Location_Name,Latitude,Longitude,Geocoded_Location_Match,Category,Google_Maps_URL
2020,2018-2020,1,"Intersection of Bombay Port Trust Road and Santa Savta Mali Marg, Byculla",19.0000443,72.855544,Bombay Port Trust Road (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.000044,72.855544"
2020,2018-2020,2,"Intersection of Veer Sawarkar Marg and Vikhroli Parksite Road No 7, Vikhroli West",19.1175187,72.9260222,Vikhroli West (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.117519,72.926022"
2020,2018-2020,3,"Godrej Junction, Pirojshanagar, Vikhroli East",19.1027579,72.9286321,"Godrej Road, Pirojshanagar, Vikhroli East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.102758,72.928632"
2020,2018-2020,4,"Intersection of A B Holkar Marg and Lal Bahadur Shastri Marg, Vikhroli West",19.1175187,72.9260222,LBS Marg & A B Holkar Marg intersection,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.117519,72.926022"
2020,2018-2020,5,"Intersection of Dr Baba Sahab Ambedkar Road and RL Kelkar Road, Sion West",19.0426668,72.8635441,Sion Circle area (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.042667,72.863544"
2020,2018-2020,6,"Chatrapati Shivaji Maharaj Circle, Govandi East",19.062547,72.917271,"Shivaji Nagar Junction, Govandi (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.062547,72.917271"
2020,2018-2020,7,"Intersection of Eastern Express Highway and Postal Colony Road, Chembur East",19.06135,72.89367,"Postal Colony, Chembur",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.061350,72.893670"
2020,2018-2020,8,"Intersection of Swami Vivekanand Road and GK Gokhlale Bridge, Andheri West",19.1163373,72.8440881,"Swami Vivekanand Rd & GK Gokhale Bridge, Andheri East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.116337,72.844088"
2020,2018-2020,9,"Intersection of Western Express Highway and Nehru Road, Santacruz East",19.0801715,72.8495237,"Vakola Bridge, Nehru Rd, Santacruz East (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.080171,72.849524"
2020,2018-2020,10,"Intersection of Western Express Highway and Sir Mathurdas Vasanji Road, Andheri East",19.115875,72.85648,"WEH Metro Station, Andheri East (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.115875,72.856480"
