Report_Year,Period,Rank,Junction_Name,Fatalities_period,SeriousInjuries_period,Total,Fatal_and_SeriousInjury_Crashes_Total_period
2020,2018-2020,1,"Amar Mahal junction, Tilak Nagar, Ghatkopar East",23,54,77,
2020,2018-2020,2,"Godrej Junction, Pirojshanagar, Vikhroli",16,57,73,
2020,2018-2020,3,"Intersection of EEH and JVLR, Kanjurmarg East",11,57,68,
2020,2018-2020,4,"Intersection of EEH and Mulund - Airoli Link Road, Mulund East",12,36,48,
2020,2018-2020,5,"Intersection of WEH and JVLR, Jogeshwari East",13,32,45,
2020,2018-2020,6,"Intersection of WEH and SD Mandir Road, Bandra East",4,36,40,
2020,2018-2020,7,"Intersection of WEH and KC Marg, Bandra West",12,27,39,
2020,2018-2020,8,"Intersection of WEH and Nehru Road, Santacruz East",9,29,38,
2020,2018-2020,9,"Intersection of WEH and Sion - Bandra Link Road, Bandra East",5,33,38,
2020,2018-2020,10,"Intersection of EEH and Sion Station Road, Sion East",8,29,37,
2020,2018-2020,11,"Intersection of EEH and Andheri - Ghatkopar Link Road, Ghatkopar East",10,26,36,
2020,2018-2020,12,"Intersection of EEH and RL Kelakar Road, Sion Circle",5,27,32,
2020,2018-2020,13,Intersection of Eastern Freeway and Ghatkopar - Mankhurd Link Road,8,20,28,
2020,2018-2020,14,Intersection of VN Purav and Ghatkopar - Mankhurd Link Road,8,20,28,
2020,2018-2020,15,"Intersection of WEH and Ananta Kanekar Marg, Bandra East",3,25,28,
2021,2019-2021,1,"Amar Mahal Junction, Tilak Nagar, Ghatkopar",24,46,70,
2021,2019-2021,2,"Intersection of EEH and JVLR, Kanjurmarg East",13,47,60,
2021,2019-2021,3,"Intersection of WEH and Sion Bandra Link Road (Kalanagar Junction), Bandra East",13,36,49,
2021,2019-2021,4,Intersection of WEH and Jawaharlal Nehru Road,8,26,34,
2021,2019-2021,5,Intersection Of Ghatkopar Andheri Link Road and Eastern Express Highway,9,23,32,
2021,2019-2021,6,Priyadarshini Junction,7,23,30,
2021,2019-2021,7,Intersection of WEH and JVLR,6,24,30,
2021,2019-2021,8,Intersection of Eastern Freeway and Ghatkopar - Mankhurd Link road,6,20,26,
2021,2019-2021,9,Sion Circle Junction,3,23,26,
2021,2019-2021,10,Intersection of WEH and Akurli Road,6,19,25,
2021,2019-2021,11,Intersection of WEH and Goregaon Mulund Link Road,6,19,25,
2021,2019-2021,12,"King Circle Junction, Matunga",2,18,20,
2021,2019-2021,13,Intersection of WEH and N.S.Phadake Marg,3,16,19,
2021,2019-2021,14,Intersection of Santacruz Chembur Link Road and LBS Road,8,11,19,
2021,2019-2021,15,Intersection of Sion Panvel Highway and Ghatkopar - Mankhurd Link Road,5,14,19,
2022,2020-2022,1,Intersection of WEH and Sion Bandra Link Road (Kalanagar Junction),15,36,51,
2022,2020-2022,2,Amar Mahal Junction Tilak Nagar Ghatkopar,13,37,50,
2022,2020-2022,3,Intersection of JVLR and Eastern Express highway,12,26,38,
2022,2020-2022,4,Intersection of WEH and Jawaharlal Neharu Road,7,26,33,
2022,2020-2022,5,Intersection Of Ghatkopar Andheri Link Road and Eastern Express Highway,8,17,25,
2022,2020-2022,6,Intersection of Sion Panvel Highway and Ghatkopar Mankhurd Link Road,10,14,24,
2022,2020-2022,7,Intersection of Ghatkopar Mankhurd Link road and Eastern Freeway,5,19,24,
2022,2020-2022,8,Sion Circle Junction (Rani Laxmi Bai Udyan),4,18,22,
2022,2020-2022,9,Priyadarshini Junction,4,17,21,
2022,2020-2022,10,Intersection of JVLR and Western Express highway,3,17,20,
2022,2020-2022,11,Intersection of WEH and Akurli Road,6,13,19,
2022,2020-2022,12,Sanjay Ghandhi National Park Junction,6,13,19,
2022,2020-2022,13,Intersection of Goregaon Mulund Link Road and Western Express Highway,5,14,19,
2022,2020-2022,14,Intersection of WEH and N.S.Phadake Marg,4,11,15,
2022,2020-2022,15,"King Circle Junction, Matunga",3,12,15,
2023,2021-2023,1,"Intersection of WEH and Sion Bandra Link Road (Kalanagar Junction), Bandra East",13,,,45
2023,2021-2023,2,"Baiganwadi Signal Junction, Deonar, Mumbai",10,,,37
2023,2021-2023,3,"Intersection of WEH and Jawaharlal Nehru Road, Santacruz East",5,,,38
2023,2021-2023,4,"Towards Sea Link, Mahim Cause Way Junction, Near Bandra Chowky, U-Bridge, WEH",5,,,34
2023,2021-2023,5,"Intersection of Sion Panvel Highway and Ghatkopar - Mankhurd Link Road, Mankhurd",15,,,34
2023,2021-2023,6,"Amar Mahal Junction, Tilak Nagar Ghatkopar",11,,,33
2023,2021-2023,7,"Kherwadi Junction Signal, After Bus Stop of Kherwadi, WEH, Bandra East",7,,,30
2023,2021-2023,8,"Intersection of EEH and JVLR, Kanjurmarg East",12,,,29
2023,2021-2023,9,"Intersection of WEH and JVLR, Jogeshwari East",6,,,27
2023,2021-2023,10,"Intersection of Sion Bandra Link Road and BKC Main Road, Bandra East",9,,,26
2023,2021-2023,11,"Sion Circle Junction, Sion",6,,,25
2023,2021-2023,12,"Sanjay Gandhi National Park Junction, Borivali East",8,,,22
2023,2021-2023,13,"Chedda nagar junction, Ghatkopar East",4,,,22
2023,2021-2023,14,Intersection of SV Road and Ram Mandir Road,4,,,21
2023,2021-2023,15,Intersection of Lady Jamshedji road and Old Cadel Road,4,,,21
2023,2021-2023,16,Intersection of Eastern Freeway and Ghatkopar - Mankhurd Link Road,1,,,20
2023,2021-2023,17,"Priyadarshini Junction, Chunabhatti",7,,,20
2023,2021-2023,18,"Godrej Ghodagate Signal, Thane- Mumbai Way, Vikhroli East",3,,,20
2023,2021-2023,19,"Intersection of WEH and Nehru Road, Vile parle East",3,,,20
2023,2021-2023,20,"Veer Kotwal Udyan chowk, Dadar west",3,,,19
