Report_Year,Period,Rank,Road_Name,Length_km,Deaths_per_Km,SeriousInjuries_per_Km,Deaths_and_Injuries_per_Km,Fatalities_period,SeriousInjuries_period,Pedestrian_deaths,Cyclist_deaths,Motorcycle_rider_pillion_deaths,FourWheeler_occupant_deaths,Total
2019,2017-2019,1,Ghatkopar Mahul Road,1.36,14,27,41,19,37,,,,,56
2019,2017-2019,2,Balasaheb Thackeray Flyover,1.1,14,21,35,15,23,,,,,38
2019,2017-2019,3,Vasantdada Patil Marg,1.3,8,16,25,11,21,,,,,32
2019,2017-2019,4,Mulund - Airoli Link Road,2.5,7,11,18,17,28,,,,,45
2019,2017-2019,5,Bandra Kurla Complex Road,3.6,1,15,16,5,54,,,,,59
2019,2017-2019,6,J.J. Flyover,2.5,6,10,15,14,24,,,,,38
2019,2017-2019,7,Western Express Highway,25.33,5,9,14,118,228,,,,,346
2019,2017-2019,8,Sion Panvel Highway,9.1,5,7,12,46,62,,,,,108
2019,2017-2019,9,Ghatkopar - Mankhurd Link Road,4,4,8,12,14,33,,,,,47
2019,2017-2019,10,Eastern Express Highway,23.55,2,8,10,57,185,,,,,242
2019,2017-2019,11,Malad Marve Road,3.7,1,9,10,3,34,,,,,37
2019,2017-2019,12,Santa Cruz - Chembur Link Road,6.45,3,6,9,20,37,,,,,57
2019,2017-2019,13,Mathuradas Vasanji Road (Andheri Kurla Road),4.5,2,6,8,7,29,,,,,36
2019,2017-2019,14,Aarey Colony Road,7.1,1,5,7,8,39,,,,,47
2019,2017-2019,15,Goregaon Mulund Link Road,6.2,1,5,6,8,32,,,,,40
2020,2018-2020,1,Ghatkopar - Mahul Road,1.36,12,36,48,16,49,,,,,65
2020,2018-2020,2,Ghatkopar Flyover,1,10,25,35,10,25,,,,,35
2020,2018-2020,3,Asha Nagar Road,1.3,9,20,29,12,26,,,,,38
2020,2018-2020,4,Bandra Kurla Complex Road,3.6,3,20,23,10,73,,,,,83
2020,2018-2020,5,Western Express Highway,25.33,5,15,20,124,376,,,,,500
2020,2018-2020,6,General A K Vaidya Marg,2.3,3,13,17,8,30,,,,,38
2020,2018-2020,7,Sion - Panvel Highway,9.1,5,12,16,43,107,,,,,150
2020,2018-2020,8,Ramakrishna Chemburkar Marg (Ghatkopar - Mahul Road),2.9,4,10,14,11,30,,,,,41
2020,2018-2020,9,Eastern Express Highway,23.55,3,10,13,71,227,,,,,298
2020,2018-2020,10,Malad - Marve Road,3.7,1,11,12,3,42,,,,,45
2020,2018-2020,11,Ghatkopar - Mankhurd Link Road,4,3,9,11,11,34,,,,,45
2020,2018-2020,12,Adi Sankaracharya Marg,6.34,2,8,10,14,51,,,,,65
2020,2018-2020,13,Mathuradas Vasanji Road (Andheri - Kurla Road),4.5,1,8,10,5,38,,,,,43
2020,2018-2020,14,Lal Bahadur Shastri Marg,21,1,8,9,29,164,,,,,193
2020,2018-2020,15,Rafi Ahmed Kidwai Marg,5.7,3,6,9,15,36,,,,,51
2021,2019-2021,1,Dr Babasaheb Ambedkar Marg,1.22,14,68,82,17,83,39,0,46,15,100
2021,2019-2021,2,NS Road,1,3,35,38,3,35,14,1,19,4,38
2021,2019-2021,3,Western Express Highway,25.33,5,14,19,135,362,132,7,248,110,497
2021,2019-2021,4,Ghatkopar - Mankhurd Link Road,4,5,13,18,18,52,28,1,31,10,70
2021,2019-2021,5,New Link Road,10,3,11,14,25,111,63,0,59,14,136
2021,2019-2021,6,Eastern Express Highway,23.55,3,9,12,80,213,71,7,152,63,293
