Report_Year,Period,Rank,Junction_Name,Pedestrian_HitAndRun_Fatalities_period
2020,2018-2020,1,"Intersection of Bombay Port Trust Road and Santa Savta Mali Marg, Byculla",4
2020,2018-2020,2,"Intersection of Veer Sawarkar Marg and Vikhroli Parksite Road No 7, Vikhroli West",4
2020,2018-2020,3,"Godrej Junction, Pirojshanagar, Vikhroli East",4
2020,2018-2020,4,"Intersection of A B Holkar Marg and Lal Bahadur Shastri Marg, Vikhroli West",4
2020,2018-2020,5,"Intersection of Dr Baba Sahab Ambedkar Road and RL Kelkar Road, Sion West",4
2020,2018-2020,6,"Chatrapati Shivaji Maharaj Circle, Govandi East",4
2020,2018-2020,7,"Intersection of Eastern Express Highway and Postal Colony Road, Chembur East",3
2020,2018-2020,8,"Intersection of Swami Vivekanand Road and GK Gokhlale Bridge, Andheri West",3
2020,2018-2020,9,"Intersection of Western Express Highway and Nehru Road, Santacruz East",3
2020,2018-2020,10,"Intersection of Western Express Highway and Sir Mathurdas Vasanji Road, Andheri East",3
2020,2018-2020,11,"Intersection of V N Purav Marg and Ramkrishna Chemburkar Marg, Chembur",3
2020,2018-2020,12,"Mulund Airoli Interchange, Mulund East",3
2020,2018-2020,13,"Intersection of Western Express Highway and Jogeshwari - Vikhroli Link Road, Joeshwari East",3
2020,2018-2020,14,"Intersection of Jogeshwari - Vikhroli Link Road and Reserved Forces Camp Road, Andheri East",3
2020,2018-2020,15,"Intersection of Eastern Express Highway and VN Purav Marg, Chembur",3
2021,2019-2021,1,IIT Main Gate Junction,4
2021,2019-2021,2,Amar Mahal Junction Tilak Nagar Ghatkopar,4
2021,2019-2021,3,Intersection of Eastern Free Way Sant Savata Marg,4
2021,2019-2021,4,Intersection of Sant Rohidas Marg and Dharavi Depot,3
2021,2019-2021,5,Intersection of Eastern Express Highway and Goregaon Mulund Link Road,3
2021,2019-2021,6,Priyadarshini Junction,3
2021,2019-2021,7,Intersection of JVLR and Eastern Express Highway,3
2021,2019-2021,8,Intersection of LBS road & Santacruz Chembur Link Road,3
2021,2019-2021,9,Intersection of Dr. Anandrao Nair Marg and Jehangir Boman Behram Marg,2
2021,2019-2021,10,Intersection of Western Express Highway and Akurli Road,2
2021,2019-2021,11,Dr. Kashinath Ghanekar Chowk Prabhadevi,2
2021,2019-2021,12,Intersection Kamlakar Pant Walawalkar Marg and P Tandon Marg,2
2021,2019-2021,13,Intersection of Western Express Highway and Mathuradas Vasanji Road,2
2021,2019-2021,14,Intersection of Sion Panvel Highway and Eastern Freeway (Shivaji Chowk),2
2021,2019-2021,15,Intersection of Sion Panvel Highway and Ghatkopar Mankhurd Link Road,2
2022,2020-2022,1,"Amar Mahal Junction, Tilak Nagar, Ghatkopar",5
2022,2020-2022,2,"Worli Seaface Junction, Worli",5
2022,2020-2022,3,"Intersection of Sion Panvel Highway and Ghatkopar Mankhurd Link Road, Mankhurd",4
2022,2020-2022,4,Intersection of Sant Rohidas Marg and Dharavi Depot,4
2022,2020-2022,5,Priyadarshini Junction,3
2022,2020-2022,6,"Ovaripada Metro Station Junction, Borivali",3
2022,2020-2022,7,IIT Main Gate Junction,3
2022,2020-2022,8,"Intersection of JVLR and Eastern Express highway, Vikhroli",2
2022,2020-2022,9,"Intersection of WEH and 90 feet Road, Dattani Park junction, Kandivali",2
2022,2020-2022,10,Intersection Kamlakar Pant Walawalkar Marg and P Tandon Marg,2
2022,2020-2022,11,Dr. Kashinath Ghanekar Chowk Prabhadevi,2
2022,2020-2022,12,Intersection of LBS road & Santacruz Chembur Link Road,2
2022,2020-2022,13,Intersection of Sion Panvel Highway and Eastern Free Way (Shivaji Chowk),2
2022,2020-2022,14,"Intersection of WEH and Dattapada Road, Magathane depot junction, Borivali",1
2022,2020-2022,15,Intersection of Western Express Highway and Mathuradas Vasanji Road,1
2023,2021-2023,1,Intersection of Sion Panvel Highway and Ghatkopar - Mankhurd Link Road,7
2023,2021-2023,2,"Worli Seaface Junction, Worli",5
2023,2021-2023,3,"Amar Mahal Junction, Tilak Nagar, Ghatkopar",4
2023,2021-2023,4,Priyadarshini Junction,4
2023,2021-2023,5,"WEH near Dattani Park Bus Stop, Kandivali East",4
2023,2021-2023,6,"Baiganwadi Signal Junction, Deonar",4
2023,2021-2023,7,"Intersection of EEH and JVLR, Kanjurmarg East",4
2023,2021-2023,8,Sion Circle Junction,4
2023,2021-2023,9,"Sanjay Gandhi National Park Junction, Borivali East",3
2023,2021-2023,10,Intersection WEH and Thakur village road Kandivali East,3
2023,2021-2023,11,"Gundavali Bus Stop, Andheri East",3
2023,2021-2023,12,"Narayan Bodhe Chowk, EEH, Vikhroli East",3
2023,2021-2023,13,Sonapur Signal Crossing,3
2023,2021-2023,14,Intersection of LBS Marg and AGLR Ext. Road (near Shreyas bus stop) (on LBS),2
2023,2021-2023,15,Intersection of New Link road and Yogi Nagar Marg,2
